,continent,date,new_vaccinations
724,Africa,2022-01-31,233036.0
725,Africa,2022-02-01,249906.0
726,Africa,2022-02-02,226858.0
727,Africa,2022-02-03,317743.0
728,Africa,2022-02-04,292446.0
729,Africa,2022-02-05,278233.0
730,Africa,2022-02-06,210337.0
731,Africa,2022-02-07,196987.0
732,Africa,2022-02-08,219492.0
733,Africa,2022-02-09,265376.0
734,Africa,2022-02-10,312315.0
735,Africa,2022-02-11,302559.0
736,Africa,2022-02-12,316135.0
737,Africa,2022-02-13,232708.0
738,Africa,2022-02-14,71553.0
739,Africa,2022-02-15,27346.0
740,Africa,2022-02-16,846489.0
741,Africa,2022-02-17,1364694.0
742,Africa,2022-02-18,1339588.0
743,Africa,2022-02-19,1883608.0
744,Africa,2022-02-20,1371105.0
745,Africa,2022-02-21,1777211.0
746,Africa,2022-02-22,1694925.0
747,Africa,2022-02-23,149630.0
748,Africa,2022-02-24,24272.0
749,Africa,2022-02-25,412820.0
750,Africa,2022-02-26,1149585.0
751,Africa,2022-02-27,228553.0
752,Africa,2022-02-28,419497.0
753,Africa,2022-03-01,256901.0
754,Africa,2022-03-02,740685.0
755,Africa,2022-03-03,360598.0
756,Africa,2022-03-04,466903.0
757,Africa,2022-03-05,216013.0
758,Africa,2022-03-06,184446.0
759,Africa,2022-03-07,138955.0
760,Africa,2022-03-08,6550.0
761,Africa,2022-03-09,31003.0
762,Africa,2022-03-10,111008.0
763,Africa,2022-03-11,259443.0
764,Africa,2022-03-12,18343.0
765,Africa,2022-03-13,21699.0
766,Africa,2022-03-14,64114.0
767,Africa,2022-03-15,98547.0
768,Africa,2022-03-16,108002.0
769,Africa,2022-03-17,104203.0
770,Africa,2022-03-18,130939.0
771,Africa,2022-03-19,131191.0
772,Africa,2022-03-20,26433.0
773,Africa,2022-03-21,31908.0
774,Africa,2022-03-22,94629.0
775,Africa,2022-03-23,189508.0
776,Africa,2022-03-24,254955.0
777,Africa,2022-03-25,234003.0
778,Africa,2022-03-26,183117.0
779,Africa,2022-03-27,79764.0
780,Africa,2022-03-28,89321.0
781,Africa,2022-03-29,117442.0
782,Africa,2022-03-30,259584.0
783,Africa,2022-03-31,269016.0
784,Africa,2022-04-01,193765.0
785,Africa,2022-04-02,119330.0
786,Africa,2022-04-03,93941.0
787,Africa,2022-04-04,75737.0
788,Africa,2022-04-05,99108.0
789,Africa,2022-04-06,121971.0
